drugbank_id,name,smiles_canonical,image_path
DB00381,Amlodipine,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,drug_embeddings_by_freq\drug_images\DB00381.png
DB00390,Digoxin,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,drug_embeddings_by_freq\drug_images\DB00390.png
DB00393,Nimodipine,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,drug_embeddings_by_freq\drug_images\DB00393.png
DB00396,Progesterone,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,drug_embeddings_by_freq\drug_images\DB00396.png
DB00398,Sorafenib,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,drug_embeddings_by_freq\drug_images\DB00398.png
DB00401,Nisoldipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],drug_embeddings_by_freq\drug_images\DB00401.png
DB00402,Eszopiclone,CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,drug_embeddings_by_freq\drug_images\DB00402.png
DB00404,Alprazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,drug_embeddings_by_freq\drug_images\DB00404.png
DB00408,Loxapine,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,drug_embeddings_by_freq\drug_images\DB00408.png
DB00410,Mupirocin,C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,drug_embeddings_by_freq\drug_images\DB00410.png
DB00412,Rosiglitazone,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,drug_embeddings_by_freq\drug_images\DB00412.png
DB00413,Pramipexole,CCCN[C@H]1CCc2nc(N)sc2C1,drug_embeddings_by_freq\drug_images\DB00413.png
DB00419,Miglustat,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,drug_embeddings_by_freq\drug_images\DB00419.png
DB00422,Methylphenidate,COC(=O)C(c1ccccc1)C1CCCCN1,drug_embeddings_by_freq\drug_images\DB00422.png
DB00424,Hyoscyamine,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)[C@H](CO)c1ccccc1)C2,drug_embeddings_by_freq\drug_images\DB00424.png
DB00425,Zolpidem,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,drug_embeddings_by_freq\drug_images\DB00425.png
DB00426,Famciclovir,CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O,drug_embeddings_by_freq\drug_images\DB00426.png
DB00428,Streptozocin,CN(N=O)C(=O)N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO,drug_embeddings_by_freq\drug_images\DB00428.png
DB00437,Allopurinol,Oc1ncnc2[nH]ncc12,drug_embeddings_by_freq\drug_images\DB00437.png
